Model,Explore,Is Hidden,Has Description,# Joins,# Unused Joins,# Fields,# Unused Fields,Query Count
wallapop,dbt_model_execution_logs,False,False,0,0,16,16,0
wallapop,chat_messages_created_high_periodicity_updates,False,False,49,0,368,313,0
wallapop,user_location,False,False,0,0,19,19,0
wallapop,disputes_transaction_manager,False,False,0,0,39,39,0
wallapop,tns_refresh_token_convs,False,False,0,0,27,22,0
wallapop,payment_3ds_decision,False,False,0,0,27,14,12
wallapop,login_status,True,False,0,0,19,19,0
wallapop,user_ban,True,False,1,1,37,36,2
wallapop,user_comment,True,False,0,0,18,18,0
wallapop,tiers_saved_searches_alertusers,True,False,0,0,4,4,0
wallapop,tiers_saved_searches_users,True,False,0,0,4,4,0
wallapop,saved_searches_tier,True,False,0,0,10,10,0
wallapop,tv_competition,True,False,0,0,14,14,0
wallapop,user_savedsearch,True,False,0,0,13,13,0
wallapop,user_savedsearches_tier,True,False,0,0,5,5,0
wallapop,moderation,False,False,5,1,413,392,1
wallapop,item_views_new,True,False,3,3,422,422,0
wallapop,user_segments,True,False,1,1,17,17,0
wallapop,campaigns_tracking,True,False,9,2,784,763,16
wallapop,agr_daily_line_revenue,True,False,0,0,13,13,0
wallapop,red_yaencontrelead,True,False,2,2,400,396,3
wallapop,interested_users_car,True,False,4,1,46,29,0
wallapop,user_rich_profile,True,False,0,0,10,10,0
wallapop,customer_item_changes,True,False,0,0,13,5,127
wallapop,incident_helpshift_tickets_status,True,False,0,0,17,17,0
wallapop,ads_dfp_testgroups,True,False,0,0,17,17,0
wallapop,moderation_engine_log,True,False,2,0,52,37,84
wallapop,growthdash,True,False,2,1,60,53,5
wallapop,item_history_per_day,True,False,2,2,19,19,0
wallapop,competition_es,True,False,1,1,12,6,1
wallapop,item_category,True,False,0,0,5,5,0
wallapop,mkt_accesshistory,True,False,2,1,321,309,67
wallapop,rule_log,True,False,5,1,419,391,1137
wallapop,abusereport,True,False,10,3,758,737,529
wallapop,clickstreaming_sessions,True,False,1,0,29,22,5
wallapop,message,True,False,7,4,788,776,215
wallapop,item_abuse_report,True,False,2,1,351,339,0
wallapop,mktg_nps_survey_response,True,True,0,0,16,3,0
wallapop,user_kyc_events,True,False,0,0,6,2,2
wallapop,user_actions,True,False,0,0,19,19,0
wallapop,user_moderation_queue,False,True,11,0,91,34,3970
wallapop,item_report_moderation_queue,False,True,5,2,72,43,36
wallapop,scam_devices,True,True,0,0,9,6,0
wallapop,item_ban,True,True,4,4,46,43,0
wallapop,user_history,True,False,423,0,541,24,1327
wallapop,compromised_accounts,True,False,0,0,37,37,0
wallapop,moderation_status_user,True,False,0,0,12,2,151
wallapop,pros_banned,True,False,0,0,30,25,2
wallapop,moderation_status_item,True,False,0,0,14,3,467
wallapop,scam_conversations_training_logs,True,True,0,0,11,5,153
wallapop,banned_day_before,False,False,4,1,483,455,6
